id,tweet,polarity,NO URL,NO STOPWORD,NO NUMBER,NO REPEAT,NO ACRONYM,NO NEGATION,OUR
1556068472,Hmm im usually dead rite now...ugh skool monday..no more oprah ellen or kathie lee and hoda     i wish u went to skool for a millisecond!!,0,hm im usually dead rite ... damn skol monday .. oprah elen kathie lee hoda wish went skol millisecond,hm im usually dead rite now ... damn skol monday .. no more oprah elen or kathie lee and hoda i wish you went to skol for a millisecond,hm im usually dead rite ... damn skol monday .. oprah elen kathie lee hoda wish went skol millisecond,hmm im usually dead rite ... damn school monday .. oprah ellen kathie lee hoda wish went school millisecond,hm im usually dead rite ... ugh skol monday .. oprah elen kathie lee hoda wish u went skol millisecond,hm im usually dead rite ... damn skol monday .. oprah elen kathie lee hoda wish went skol millisecond,hm im usually dead rite ... damn skol monday .. oprah elen kathie lee hoda wish went skol millisecond
2252521888,I have had a 102. Fever all night. ,0,fever night,i have had a fever all night,102 fever night,fever night,fever night,fever night,fever night
2063299796,Who invented hayfever? ,0,invented hayfever,who invented hayfever,invented hayfever,invented hayfever,invented hayfever,invented hayfever,invented hayfever
1989549312,Wishing the Cavs were in the NBA Finals...we just can't let it go ,0,wishing cavs nba finals ... can not let go,wishing the cavs were in the nba finals ... we just can not let it go,wishing cavs nba finals ... can not let go,wishing cavs nba finals ... can not let go,wishing cavs nba finals ... can not let go,wishing cavs nba finals ... can't let go,wishing cavs nba finals ... can not let go
1468031439,"@endearingevania I sure wish I could go with you guys tmrw. But as per usual, school interferes. ",0,@endearingevania sure wish could go guys tmrw per usual school interferes,@endearingevania i sure wish i could go with you guys tmrw but as per usual school interferes,@endearingevania sure wish could go guys tmrw per usual school interferes,@endearingevania sure wish could go guys tmrw per usual school interferes,@endearingevania sure wish could go guys tmrw per usual school interferes,@endearingevania sure wish could go guys tmrw per usual school interferes,sure wish could go guys tmrw per usual school interferes
2202091896,@AshleyLTMSYF hiya how r u? shame i missed u in Sydney. i was sick.i heard yall rocked!!! i missed the a/party 2 which i was invited to ,0,@ashleyltmsyf hiya shame mised sydney sick heard yal rocked mised party invited,@ashleyltmsyf hiya how are you shame i mised you in sydney i was sick i heard yal rocked i mised the a party which i was invited to,@ashleyltmsyf hiya shame mised sydney sick heard yal rocked mised party 2 invited,@ashleyltmsyf hiya shame missed sydney sick heard you all rocked missed party invited,@ashleyltmsyf hiya r u shame mised u sydney sick heard yal rocked mised party invited,@ashleyltmsyf hiya shame mised sydney sick heard yal rocked mised party invited,hiya shame mised sydney sick heard yal rocked mised party invited
2200029856,#haveyouever wished microsoft never had to update xbox live? i'm so sad i can't play cod4 live. ,0,#haveyouever wished microsoft never update xbox live i'm sad can not play cod live,#haveyouever wished microsoft never had to update xbox live i'm so sad i can not play cod live,#haveyouever wished microsoft never update xbox live i'm sad can not play cod 4 live,#haveyouever wished microsoft never update xbox live i'm sad can not play cod live,#haveyouever wished microsoft never update xbox live i'm sad can not play cod live,#haveyouever wished microsoft never update xbox live i'm sad can't play cod live,wished microsoft never update xbox live i'm sad can not play cod live
1467876133,has lost his ring. It's no-where to be seen ,0,lost ring no-where seen,has lost his ring it's no-where to be seen,lost ring no-where seen,lost ring no-where seen,lost ring no-where seen,lost ring no-where seen,lost ring no-where seen
2206892331,Trying to set up Xbox Live and failing tremendously...brain ache ,0,trying set xbox live failing tremendously ... brain ache,trying to set up xbox live and failing tremendously ... brain ache,trying set xbox live failing tremendously ... brain ache,trying set xbox live failing tremendously ... brain ache,trying set xbox live failing tremendously ... brain ache,trying set xbox live failing tremendously ... brain ache,trying set xbox live failing tremendously ... brain ache
1882993898,@TerrenceJ106. U should have told her and that voice box gone b bad 2 if ur ass keep on smokin them cancer sticks  lol,0,@terencej told voice box gone bad ass keep smokin cancer sticks very funny,@terencej you should have told her and that voice box gone be bad if your ass keep on smokin them cancer sticks very funny,@terencej106 told voice box gone bad 2 ass keep smokin cancer sticks very funny,@terrencej told voice box gone bad ass keep smokin cancer sticks very funny,@terencej u told voice box gone b bad ur ass keep smokin cancer sticks lol,@terencej told voice box gone bad ass keep smokin cancer sticks very funny,told voice box gone bad ass keep smokin cancer sticks very funny
1759089904,awhh.   going home from Vegas. :'(      but im going back in June,0,awh going home vegas :'( im going back june,awh going home from vegas :'( but im going back in june,awh going home vegas :'( im going back june,awhh going home vegas :'( im going back june,awh going home vegas :'( im going back june,awh going home vegas :'( im going back june,awh going home vegas :'( im going back june
2238285997,i really feel bad bout eating a cheeseburger and a donut for dinner  ugh! i so need to burn this off tomorrow! :| darn McDonalds!!!!,0,really feel bad eating cheeseburger donut dinner damn need burn 2morrow :| darn mcdonalds,i really feel bad about eating a cheeseburger and a donut for dinner damn i so need to burn this off 2morrow :| darn mcdonalds,really feel bad eating cheeseburger donut dinner damn need burn 2morrow :| darn mcdonalds,really feel bad eating cheeseburger donut dinner damn need burn 2morrow :| darn mcdonalds,really feel bad bout eating cheeseburger donut dinner ugh need burn tomorrow :| darn mcdonalds,really feel bad eating cheeseburger donut dinner damn need burn 2morrow :| darn mcdonalds,really feel bad eating cheeseburger donut dinner damn need burn 2morrow neutral darn mcdonalds
1932332597,oh my gooooooodness!!!! the cavs down 3-1!! ,0,oh godnes cavs,oh my godnes the cavs down,oh godnes cavs 3-1,oh gooooooodness cavs,oh godnes cavs,oh godnes cavs,oh godnes cavs
1982348564,I would have bet a hundred bucks it would b Cleveland &amp; LA in the finals. Thought it was Lebrons year ,0,would bet hundred bucks would cleveland la finals thought lebrons year,i would have bet a hundred bucks it would be cleveland la in the finals thought it was lebrons year,would bet hundred bucks would cleveland la finals thought lebrons year,would bet hundred bucks would cleveland la finals thought lebrons year,would bet hundred bucks would b cleveland la finals thought lebrons year,would bet hundred bucks would cleveland la finals thought lebrons year,would bet hundred bucks would cleveland la finals thought lebrons year
2070393327,@Lowjacker twitter top trends pisses me off. Oprah and the other tv celebs totally ruined twitters vibe. ,0,@lowjacker twitter top trends pises oprah tv celebs totally ruined twiters vibe,@lowjacker twitter top trends pises me off oprah and the other tv celebs totally ruined twiters vibe,@lowjacker twitter top trends pises oprah tv celebs totally ruined twiters vibe,@lowjacker twitter top trends pisses oprah tv celebs totally ruined twitters vibe,@lowjacker twitter top trends pises oprah tv celebs totally ruined twiters vibe,@lowjacker twitter top trends pises oprah tv celebs totally ruined twiters vibe,twitter top trends pises oprah tv celebs totally ruined twiters vibe
2250870150,"I haaattte hayfever. Piriton, claritin and antihistamines seem to not make any difference ",0,hate hayfever piriton claritin antihistamines seem make difference,i hate hayfever piriton claritin and antihistamines seem to not make any difference,hate hayfever piriton claritin antihistamines seem make difference,haaattte hayfever piriton claritin antihistamines seem make difference,hate hayfever piriton claritin antihistamines seem make difference,hate hayfever piriton claritin antihistamines seem make difference,hate hayfever piriton claritin antihistamines seem make difference
1680198701,The people here in Argentina say Obama will be the next JFK....  it is very bad but is the sad truth....,0,people argentina say obama next jfk ... bad sad truth ...,the people here in argentina say obama will be the next jfk ... it is very bad but is the sad truth ...,people argentina say obama next jfk ... bad sad truth ...,people argentina say obama next jfk ... bad sad truth ...,people argentina say obama next jfk ... bad sad truth ...,people argentina say obama next jfk ... bad sad truth ...,people argentina say obama next jfk ... bad sad truth ...
2188709688,"Headache, bed, work in the morning, then busy all day tomorrow. ",0,headache bed work morning busy day 2morrow,headache bed work in the morning then busy all day 2morrow,headache bed work morning busy day 2morrow,headache bed work morning busy day 2morrow,headache bed work morning busy day tomorrow,headache bed work morning busy day 2morrow,headache bed work morning busy day 2morrow
1981120647,@Egyptsaidso u were right about lastnites game  damn i still love Lebron!lol,0,@egyptsaidso right lastnites game damn still love lebron very funny,@egyptsaidso you were right about lastnites game damn i still love lebron very funny,@egyptsaidso right lastnites game damn still love lebron very funny,@egyptsaidso right lastnites game damn still love lebron very funny,@egyptsaidso u right lastnites game damn still love lebron lol,@egyptsaidso right lastnites game damn still love lebron very funny,right lastnites game damn still love lebron very funny
2182725318,England are rubbish. Wrong captain. Wrong selection. Only 2 batsmen. Jimmy Anderson was awful. Gutted. ,0,england rubbish wrong captain wrong selection batsmen jimmy anderson awful guted,england are rubbish wrong captain wrong selection only batsmen jimmy anderson was awful guted,england rubbish wrong captain wrong selection 2 batsmen jimmy anderson awful guted,england rubbish wrong captain wrong selection batsmen jimmy anderson awful gutted,england rubbish wrong captain wrong selection batsmen jimmy anderson awful guted,england rubbish wrong captain wrong selection batsmen jimmy anderson awful guted,england rubbish wrong captain wrong selection batsmen jimmy anderson awful guted
1467930017,stuck at home ,0,stuck home,stuck at home,stuck home,stuck home,stuck home,stuck home,stuck home
2175776911,@cateycancer ohhh??? That bad huh  u still got pink in your hair where you working??,0,@cateycancer oh bad huh still got pink hair working,@cateycancer oh that bad huh you still got pink in your hair where you working,@cateycancer oh bad huh still got pink hair working,@cateycancer ohhh bad huh still got pink hair working,@cateycancer oh bad huh u still got pink hair working,@cateycancer oh bad huh still got pink hair working,oh bad huh still got pink hair working
2188783186,06:38 to London Liverpool Street. A bit of time to sort my photographs and to start reading Dot Robot. Didn't find time for a coffee ,0,london liverpol street bit time sort photographs start reading dot robot did not find time coffee,to london liverpol street a bit of time to sort my photographs and to start reading dot robot did not find time for a coffee,06:38 london liverpol street bit time sort photographs start reading dot robot did not find time coffee,london liverpool street bit time sort photographs start reading dot robot did not find time coffee,london liverpol street bit time sort photographs start reading dot robot did not find time coffee,london liverpol street bit time sort photographs start reading dot robot find time coffee,london liverpol street bit time sort photographs start reading dot robot did not find time coffee
2198021691,"Sadly, Obama is the later ",0,sadly obama later,sadly obama is the later,sadly obama later,sadly obama later,sadly obama later,sadly obama later,sadly obama later
2204513867,@britneyspears I should have gone to see you in london! ,0,@britneyspears gone see london,@britneyspears i should have gone to see you in london,@britneyspears gone see london,@britneyspears gone see london,@britneyspears gone see london,@britneyspears gone see london,gone see london
2001056928,@davidschwimmer cold!!!??? Here in London it's been awful. We get a humid sticky heat. Not great to work in ,0,@davidschwimer cold london awful get humid sticky heat great work,@davidschwimer cold here in london it's been awful we get a humid sticky heat not great to work in,@davidschwimer cold london awful get humid sticky heat great work,@davidschwimmer cold london awful get humid sticky heat great work,@davidschwimer cold london awful get humid sticky heat great work,@davidschwimer cold london awful get humid sticky heat great work,cold london awful get humid sticky heat great work
2204488979,@dan_jf It's very handy but unfortunately it appears to have borked my Facebook status column ,0,@dan_jf handy unfortunately apears borked facebok status column,@dan_jf it's very handy but unfortunately it apears to have borked my facebok status column,@dan_jf handy unfortunately apears borked facebok status column,@dan_jf handy unfortunately appears borked facebook status column,@dan_jf handy unfortunately apears borked facebok status column,@dan_jf handy unfortunately apears borked facebok status column,_jf handy unfortunately apears borked facebok status column
1468014571,Work laptop is officially dead .. Not happy at all.. ,0,work laptop officially dead .. happy ..,work laptop is officially dead .. not happy at all ..,work laptop officially dead .. happy ..,work laptop officially dead .. happy ..,work laptop officially dead .. happy ..,work laptop officially dead .. happy ..,work laptop officially dead .. happy ..
1467837888,@Henkuyinepu it's overrated ,0,@henkuyinepu overated,@henkuyinepu it's overated,@henkuyinepu overated,@henkuyinepu overrated,@henkuyinepu overated,@henkuyinepu overated,overated
1999578367,@oprah Tyler Perry was a first time voter?........ Australia is wayyyy behind in Oprah eps. ,0,@oprah tyler perry first time voter ... australia way behind oprah episode,@oprah tyler perry was a first time voter ... australia is way behind in oprah episode,@oprah tyler perry first time voter ... australia way behind oprah episode,@oprah tyler perry first time voter ... australia wayyyy behind oprah episode,@oprah tyler perry first time voter ... australia way behind oprah eps,@oprah tyler perry first time voter ... australia way behind oprah episode,tyler perry first time voter ... australia way behind oprah episode
1976978005,i guess it's over for the cavs..... ,0,guess cavs ...,i guess it's over for the cavs ...,guess cavs ...,guess cavs ...,guess cavs ...,guess cavs ...,guess cavs ...
1467894749,wishing i was home underneath my covers ,0,wishing home underneath covers,wishing i was home underneath my covers,wishing home underneath covers,wishing home underneath covers,wishing home underneath covers,wishing home underneath covers,wishing home underneath covers
2016118429,@Rocker182 Sweet. No better game to be able to play anywhere than that. Too bad I don't have my PSP on me today. ,0,@rocker sweet better game able play anywhere bad do not psp today,@rocker sweet no better game to be able to play anywhere than that too bad i do not have my psp on me today,@rocker182 sweet better game able play anywhere bad do not psp today,@rocker sweet better game able play anywhere bad do not psp today,@rocker sweet better game able play anywhere bad do not psp today,@rocker sweet better game able play anywhere bad psp today,sweet better game able play anywhere bad do not psp today
1558591211,My carelessness led to wiping out all contacts on my iPhone ,0,carelessness led wiping contacts iphone,my carelessness led to wiping out all contacts on my iphone,carelessness led wiping contacts iphone,carelessness led wiping contacts iphone,carelessness led wiping contacts iphone,carelessness led wiping contacts iphone,carelessness led wiping contacts iphone
2057317515,Urgh damn hayfever  my eyes are soooo itchy.  *rubs eye madly*,0,damn damn hayfever eyes itchy rubs eye madly,damn damn hayfever my eyes are so itchy rubs eye madly,damn damn hayfever eyes itchy rubs eye madly,damn damn hayfever eyes soooo itchy rubs eye madly,urgh damn hayfever eyes itchy rubs eye madly,damn damn hayfever eyes itchy rubs eye madly,damn damn hayfever eyes itchy rubs eye madly
1468006137,"Wrote exactly three lines of dialogue tonight, then gave up. ",0,wrote exactly three lines dialogue tonight gave,wrote exactly three lines of dialogue tonight then gave up,wrote exactly three lines dialogue tonight gave,wrote exactly three lines dialogue tonight gave,wrote exactly three lines dialogue tonight gave,wrote exactly three lines dialogue tonight gave,wrote exactly three lines dialogue tonight gave
2204666389,"Maybe eating McDonalds, downing a sherbet fountain &amp; washed it down with warm coke..I feel a bit queasy. And quite a bit foamy ",0,maybe eating mcdonalds downing sherbet fountain washed warm coke .. feel bit queasy quite bit foamy,maybe eating mcdonalds downing a sherbet fountain washed it down with warm coke .. i feel a bit queasy and quite a bit foamy,maybe eating mcdonalds downing sherbet fountain washed warm coke .. feel bit queasy quite bit foamy,maybe eating mcdonalds downing sherbet fountain washed warm coke .. feel bit queasy quite bit foamy,maybe eating mcdonalds downing sherbet fountain washed warm coke .. feel bit queasy quite bit foamy,maybe eating mcdonalds downing sherbet fountain washed warm coke .. feel bit queasy quite bit foamy,maybe eating mcdonalds downing sherbet fountain washed warm coke .. feel bit queasy quite bit foamy
1973089933,Stressed.... Headache..... Stressed ,0,stresed ... headache ... stresed,stresed ... headache ... stresed,stresed ... headache ... stresed,stressed ... headache ... stressed,stresed ... headache ... stresed,stresed ... headache ... stresed,stresed ... headache ... stresed
1982967985,It's no longer sunny in Seattle.  http://tr.im/sunnyinseattle,0,longer sunny seatle htp://tr.im/sunyinseatle,it's no longer sunny in seatle,longer sunny seatle,longer sunny seattle,longer sunny seatle,longer sunny seatle,longer sunny seatle
